Year,Month,Yearmon,Deaths,Race,Population,Rate,n
2011,6,Jun 2011,235,Hispanic,46671088,0.5035237232952444,2011.4166666666667
2011,6,Jun 2011,435,White,200423243,0.2170406952251541,2011.4166666666667
2011,7,Jul 2011,17,Indian,2598792,0.6541500820381161,2011.5
2011,7,Jul 2011,34,Asian,16579709,0.20506994423122865,2011.5
2011,7,Jul 2011,786,Black,39944896,1.9677107182855103,2011.5
2011,7,Jul 2011,257,Hispanic,46671088,0.5506621144122459,2011.5
2011,7,Jul 2011,533,White,200423243,0.2659372196666831,2011.5
2011,8,Aug 2011,32,Indian,2598792,1.2313413308952776,2011.5833333333333
2011,8,Aug 2011,34,Asian,16579709,0.20506994423122865,2011.5833333333333
2011,8,Aug 2011,728,Black,39944896,1.8225106907275461,2011.5833333333333
2011,8,Aug 2011,238,Hispanic,46671088,0.50995168572029,2011.5833333333333
2011,8,Aug 2011,424,White,200423243,0.21155230982865594,2011.5833333333333
2011,9,Sep 2011,15,Indian,2598792,0.5771912488571613,2011.6666666666667
2011,9,Sep 2011,33,Asian,16579709,0.1990384752832514,2011.6666666666667
2011,9,Sep 2011,685,Black,39944896,1.7148623944345731,2011.6666666666667
2011,9,Sep 2011,230,Hispanic,46671088,0.4928104525868349,2011.6666666666667
2011,9,Sep 2011,443,White,200423243,0.2210322482407891,2011.6666666666667
2011,10,Oct 2011,25,Indian,2598792,0.9619854147619356,2011.75
2011,10,Oct 2011,22,Asian,16579709,0.1326923168555009,2011.75
2011,10,Oct 2011,673,Black,39944896,1.6848210094225804,2011.75
2011,10,Oct 2011,275,Hispanic,46671088,0.58922988896252,2011.75
2011,10,Oct 2011,416,White,200423243,0.20756075681302094,2011.75
2011,11,Nov 2011,29,Indian,2598792,1.1159030811238453,2011.8333333333333
2011,11,Nov 2011,25,Asian,16579709,0.15078672369943286,2011.8333333333333
2011,11,Nov 2011,636,Black,39944896,1.5921934056356037,2011.8333333333333
2011,11,Nov 2011,220,Hispanic,46671088,0.471383911170016,2011.8333333333333
2011,11,Nov 2011,402,White,200423243,0.20057553903565964,2011.8333333333333
2011,12,Dec 2011,16,Indian,2598792,0.6156706654476388,2011.9166666666667
2011,12,Dec 2011,30,Asian,16579709,0.18094406843931943,2011.9166666666667
2011,12,Dec 2011,645,Black,39944896,1.614724444394598,2011.9166666666667
2011,12,Dec 2011,211,Hispanic,46671088,0.452100023894879,2011.9166666666667
2011,12,Dec 2011,492,White,200423243,0.24548051046155359,2011.9166666666667
2012,1,Jan 2012,18,Indian,2620501,0.6868915524168852,2012
2012,1,Jan 2012,29,Asian,17175596,0.16884421361564395,2012
2012,1,Jan 2012,642,Black,40391388,1.589447730788553,2012
2012,1,Jan 2012,219,Hispanic,47525706,0.46080325455870136,2012
2012,1,Jan 2012,446,White,200698847,0.22222349887241755,2012
2012,2,Feb 2012,21,Indian,2620501,0.8013734778196995,2012.0833333333333
2012,2,Feb 2012,20,Asian,17175596,0.11644428525216825,2012.0833333333333
2012,2,Feb 2012,484,Black,40391388,1.1982752362954203,2012.0833333333333
