"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"2014"	"2014"	"Sep., 2014"	"2014/09"	1307	Not Applicable	Not Applicable
	"2014"	"2014"	"Oct., 2014"	"2014/10"	1423	Not Applicable	Not Applicable
	"2014"	"2014"	"Nov., 2014"	"2014/11"	1307	Not Applicable	Not Applicable
	"2014"	"2014"	"Dec., 2014"	"2014/12"	1411	Not Applicable	Not Applicable
"Total"	"2014"	"2014"			15872	Not Applicable	Not Applicable
	"2015"	"2015"	"Jan., 2015"	"2015/01"	1437	Not Applicable	Not Applicable
	"2015"	"2015"	"Feb., 2015"	"2015/02"	1124	Not Applicable	Not Applicable
	"2015"	"2015"	"Mar., 2015"	"2015/03"	1365	Not Applicable	Not Applicable
	"2015"	"2015"	"Apr., 2015"	"2015/04"	1297	Not Applicable	Not Applicable
	"2015"	"2015"	"May, 2015"	"2015/05"	1531	Not Applicable	Not Applicable
	"2015"	"2015"	"Jun., 2015"	"2015/06"	1546	Not Applicable	Not Applicable
	"2015"	"2015"	"Jul., 2015"	"2015/07"	1676	Not Applicable	Not Applicable
	"2015"	"2015"	"Aug., 2015"	"2015/08"	1650	Not Applicable	Not Applicable
	"2015"	"2015"	"Sep., 2015"	"2015/09"	1610	Not Applicable	Not Applicable
	"2015"	"2015"	"Oct., 2015"	"2015/10"	1486	Not Applicable	Not Applicable
	"2015"	"2015"	"Nov., 2015"	"2015/11"	1503	Not Applicable	Not Applicable
	"2015"	"2015"	"Dec., 2015"	"2015/12"	1568	Not Applicable	Not Applicable
"Total"	"2015"	"2015"			17793	Not Applicable	Not Applicable
	"2016"	"2016"	"Jan., 2016"	"2016/01"	1499	Not Applicable	Not Applicable
	"2016"	"2016"	"Feb., 2016"	"2016/02"	1266	Not Applicable	Not Applicable
	"2016"	"2016"	"Mar., 2016"	"2016/03"	1476	Not Applicable	Not Applicable
	"2016"	"2016"	"Apr., 2016"	"2016/04"	1525	Not Applicable	Not Applicable
	"2016"	"2016"	"May, 2016"	"2016/05"	1649	Not Applicable	Not Applicable
	"2016"	"2016"	"Jun., 2016"	"2016/06"	1657	Not Applicable	Not Applicable
	"2016"	"2016"	"Jul., 2016"	"2016/07"	1804	Not Applicable	Not Applicable
